वेद प्रकाश शर्मा,https://hi.wikipedia.org/wiki/वेद_प्रकाश_शर्मा,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Urdu Version,Other Lang count
शमीम हाशिमी,https://hi.wikipedia.org/wiki/शमीम_हाशिमी,Yes,No,No,No,No,No,No,No,1
विश्वनाथ त्रिपाठी,https://hi.wikipedia.org/wiki/विश्वनाथ_त्रिपाठी,Yes,No,No,No,No,No,No,No,3
नरेन्द्र झा,https://hi.wikipedia.org/wiki/नरेन्द्र_झा,Yes,No,No,No,No,No,No,No,3
सौभाग्य सिंह शेखावत,https://hi.wikipedia.org/wiki/सौभाग्य_सिंह_शेखावत,Yes,No,No,No,No,No,No,No,1
ग्रिगरी जिनव्येव,https://hi.wikipedia.org/wiki/ग्रिगरी_जिनव्येव,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,43
बरुन सोबती,https://hi.wikipedia.org/wiki/बरुन_सोबती,Yes,No,No,No,No,No,No,No,10
त्सुतोमु यामागुची,https://hi.wikipedia.org/wiki/त्सुतोमु_यामागुची,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,35
रघुराज प्रताप सिंह,https://hi.wikipedia.org/wiki/रघुराज_प्रताप_सिंह,Yes,No,No,No,No,No,No,No,2
ए राजा,https://hi.wikipedia.org/wiki/ए_राजा,No,No,No,No,No,No,No,No,0
मे-ब्रिट मोजर,https://hi.wikipedia.org/wiki/मे-ब्रिट_मोजर,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,56
अर्नेस्टो सिसैरा,https://hi.wikipedia.org/wiki/अर्नेस्टो_सिसैरा,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,21
पूजा पाल,https://hi.wikipedia.org/wiki/पूजा_पाल,No,No,No,No,No,No,No,No,0
मगनती वेंकटेश्वर राव,https://hi.wikipedia.org/wiki/मगनती_वेंकटेश्वर_राव,Yes,No,No,No,No,No,No,No,4
इमाम अहमद रज़ा,https://hi.wikipedia.org/wiki/इमाम_अहमद_रज़ा,Yes,Yes,No,Yes,No,No,No,Yes,14
मार्वन अटापट्टू,https://hi.wikipedia.org/wiki/मार्वन_अटापट्टू,Yes,No,No,No,No,No,No,No,6
राजेंद्र कुमारी बाजपेयी,https://hi.wikipedia.org/wiki/राजेंद्र_कुमारी_बाजपेयी,Yes,No,No,No,No,No,No,No,5
इवेलिन आइंस्टीन,https://hi.wikipedia.org/wiki/इवेलिन_आइंस्टीन,Yes,Yes,No,No,Yes,No,No,No,5
प्रिया राजवंश,https://hi.wikipedia.org/wiki/प्रिया_राजवंश,Yes,No,No,No,Yes,No,No,Yes,4
लक्ष्मी (अभिनेत्री),https://hi.wikipedia.org/wiki/लक्ष्मी_(अभिनेत्री),Yes,No,Yes,No,No,No,No,Yes,11
उदयशंकर भट्ट,https://hi.wikipedia.org/wiki/उदयशंकर_भट्ट,No,No,No,No,No,No,No,No,0
डॉ आभा रानी,https://hi.wikipedia.org/wiki/डॉ_आभा_रानी,No,No,No,No,No,No,No,No,0
केटी होम्स,https://hi.wikipedia.org/wiki/केटी_होम्स,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,58
प्रीतिलता वादेदार,https://hi.wikipedia.org/wiki/प्रीतिलता_वादेदार,Yes,No,Yes,No,No,No,No,No,10
इश्फ़ाक़ अहमद शेख,https://hi.wikipedia.org/wiki/इश्फ़ाक़_अहमद_शेख,No,No,No,No,No,No,No,No,0
जमाल अब्देल नासेर,https://hi.wikipedia.org/wiki/जमाल_अब्देल_नासेर,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90
हाजी अब्दुल सलाम,https://hi.wikipedia.org/wiki/हाजी_अब्दुल_सलाम,No,No,No,No,No,No,No,No,0
डेविड मैककलॉफ,https://hi.wikipedia.org/wiki/डेविड_मैककलॉफ,Yes,Yes,Yes,Yes,Yes,No,No,No,20
वजीर अहमद जोगेजीई,https://hi.wikipedia.org/wiki/वजीर_अहमद_जोगेजीई,No,No,No,No,No,No,No,No,0
राम प्रकाश गुप्ता,https://hi.wikipedia.org/wiki/राम_प्रकाश_गुप्ता,Yes,No,No,No,No,No,No,No,4
मिशेल जीन,https://hi.wikipedia.org/wiki/मिशेल_जीन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,41
मुरियल स्पार्क,https://hi.wikipedia.org/wiki/मुरियल_स्पार्क,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,32
चुनीभाई कानजीभाई गोहेल,https://hi.wikipedia.org/wiki/चुनीभाई_कानजीभाई_गोहेल,No,No,No,No,No,No,No,No,0
विद्या बालन,https://hi.wikipedia.org/wiki/विद्या_बालन,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,36
लौरा म्वूला,https://hi.wikipedia.org/wiki/लौरा_म्वूला,Yes,Yes,Yes,Yes,Yes,Yes,No,No,11
सायेशा सैगल,https://hi.wikipedia.org/wiki/सायेशा_सैगल,Yes,No,No,No,No,No,No,No,8
ओम प्रकाश यादव,https://hi.wikipedia.org/wiki/ओम_प्रकाश_यादव,Yes,No,No,No,No,No,No,No,2
चंदा सिंह गौर,https://hi.wikipedia.org/wiki/चंदा_सिंह_गौर,Yes,No,No,No,No,No,No,No,1
सुभाष पालेकर,https://hi.wikipedia.org/wiki/सुभाष_पालेकर,Yes,No,No,No,No,No,No,No,6
दीनानाथ नादिम,https://hi.wikipedia.org/wiki/दीनानाथ_नादिम,Yes,No,No,No,No,No,No,No,2
जॉनी वॉकर (हास्य अभिनेता),https://hi.wikipedia.org/wiki/जॉनी_वॉकर_(हास्य_अभिनेता),Yes,No,Yes,No,No,No,No,Yes,6
मधुमिता बिष्ट,https://hi.wikipedia.org/wiki/मधुमिता_बिष्ट,Yes,Yes,No,No,No,No,No,No,8
सेरिंग लैंडौल,https://hi.wikipedia.org/wiki/सेरिंग_लैंडौल,Yes,No,No,No,No,No,No,No,2
पी॰ वी॰ रंगा राव,https://hi.wikipedia.org/wiki/पी॰_वी॰_रंगा_राव,Yes,No,No,No,No,No,No,No,1
अर्जुन बहादुर थापा,https://hi.wikipedia.org/wiki/अर्जुन_बहादुर_थापा,Yes,No,Yes,Yes,No,No,No,No,6
गौतम अदाणी,https://hi.wikipedia.org/wiki/गौतम_अदाणी,Yes,No,No,No,No,No,No,No,8
मरिचमान सिंह श्रेष्ठ,https://hi.wikipedia.org/wiki/मरिचमान_सिंह_श्रेष्ठ,Yes,Yes,Yes,Yes,Yes,No,No,No,11
अजित वरदराज पाई,https://hi.wikipedia.org/wiki/अजित_वरदराज_पाई,Yes,Yes,Yes,No,No,Yes,Yes,No,12
गारफील्ड सोबर्स,https://hi.wikipedia.org/wiki/गारफील्ड_सोबर्स,Yes,Yes,Yes,No,Yes,No,No,No,13
रजनी राज़दान,https://hi.wikipedia.org/wiki/रजनी_राज़दान,No,No,No,No,No,No,No,No,1
रुद्र प्रताप सिंह,https://hi.wikipedia.org/wiki/रुद्र_प्रताप_सिंह,No,No,No,No,No,No,No,No,0
हर्षवर्धन सिंह डूंगरपुर,https://hi.wikipedia.org/wiki/हर्षवर्धन_सिंह_डूंगरपुर,No,No,No,No,No,No,No,No,0
नवांग रिगज़िन,https://hi.wikipedia.org/wiki/नवांग_रिगज़िन,No,No,No,No,No,No,No,No,0
के वी शर्म,https://hi.wikipedia.org/wiki/के_वी_शर्म,Yes,Yes,No,No,No,No,No,No,4
रामचंद्र चन्द्रवंशी,https://hi.wikipedia.org/wiki/रामचंद्र_चन्द्रवंशी,No,No,No,No,No,No,No,No,0
प्रताप सिंह कैरों,https://hi.wikipedia.org/wiki/प्रताप_सिंह_कैरों,Yes,No,No,No,No,No,No,Yes,9
जगदीश सुचित,https://hi.wikipedia.org/wiki/जगदीश_सुचित,Yes,No,No,No,No,No,No,No,2
प्रणव धनवाड़े,https://hi.wikipedia.org/wiki/प्रणव_धनवाड़े,Yes,No,No,No,No,No,No,No,3
अल्फ्रेड टेनिसन,https://hi.wikipedia.org/wiki/अल्फ्रेड_टेनिसन,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,62
नितीश कुमार,https://hi.wikipedia.org/wiki/नितीश_कुमार,Yes,Yes,Yes,No,No,No,No,Yes,16
निर्मल छेत्री,https://hi.wikipedia.org/wiki/निर्मल_छेत्री,Yes,No,No,Yes,No,No,No,No,3
नेपोलियन बोनापार्ट,https://hi.wikipedia.org/wiki/नेपोलियन_बोनापार्ट,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,189
मानुषी छिल्लर,https://hi.wikipedia.org/wiki/मानुषी_छिल्लर,Yes,No,Yes,Yes,Yes,No,Yes,Yes,26
मनोहर आइच,https://hi.wikipedia.org/wiki/मनोहर_आइच,Yes,Yes,No,No,Yes,No,No,No,9
के राघवन,https://hi.wikipedia.org/wiki/के_राघवन,Yes,No,No,No,Yes,No,No,No,4
हर्षवर्धन (राजनेता),https://hi.wikipedia.org/wiki/हर्षवर्धन_(राजनेता),Yes,No,No,No,No,No,No,No,5
रशीद जहाँ,https://hi.wikipedia.org/wiki/रशीद_जहाँ,Yes,No,No,No,No,No,No,Yes,6
गमन गुरुङ,https://hi.wikipedia.org/wiki/गमन_गुरुङ,No,No,No,No,No,No,No,No,3
संतोष गंगवार,https://hi.wikipedia.org/wiki/संतोष_गंगवार,Yes,No,No,No,No,No,No,No,1
परदेशी,https://hi.wikipedia.org/wiki/परदेशी,No,No,No,No,No,No,No,No,0
नाना पाटील,https://hi.wikipedia.org/wiki/नाना_पाटील,Yes,No,No,No,No,No,No,No,4
लियोनी कल्लाघन,https://hi.wikipedia.org/wiki/लियोनी_कल्लाघन,Yes,No,No,No,No,No,No,No,1
महाराजा रणजीत सिंह,https://hi.wikipedia.org/wiki/महाराजा_रणजीत_सिंह,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,40
