Name,Url,English Version,German Version,French Version,Italian Version,Spanish Version,Swedish Version,Portuguese Version,Hindi Version,Other Lang count
ایلس کالہون,https://ur.wikipedia.org/wiki/ایلس_کالہون,Yes,Yes,Yes,No,Yes,Yes,No,No,10
یاکوبس ہینریکوس وانت ہوف,https://ur.wikipedia.org/wiki/یاکوبس_ہینریکوس_وانت_ہوف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,76
کلائوگرینجر,https://ur.wikipedia.org/wiki/کلائوگرینجر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,44
ناصر جہاں,https://ur.wikipedia.org/wiki/ناصر_جہاں,No,No,No,No,No,No,No,No,0
جیرانیمو,https://ur.wikipedia.org/wiki/جیرانیمو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,60
ابی لنکن,https://ur.wikipedia.org/wiki/ابی_لنکن,Yes,Yes,Yes,Yes,Yes,No,Yes,No,26
سدرشن فاکر,https://ur.wikipedia.org/wiki/سدرشن_فاکر,No,No,No,No,No,No,No,No,0
فضل الہی چوہدری,https://ur.wikipedia.org/wiki/فضل_الہی_چوہدری,Yes,Yes,Yes,Yes,No,No,No,Yes,17
بشر بن البراء,https://ur.wikipedia.org/wiki/بشر_بن_البراء,No,Yes,No,No,No,No,No,No,3
نرسمہا راؤ,https://ur.wikipedia.org/wiki/نرسمہا_راؤ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,42
زید بن ثابت,https://ur.wikipedia.org/wiki/زید_بن_ثابت,Yes,Yes,Yes,Yes,No,No,No,No,20
خواجہ محمد اظہر خان,https://ur.wikipedia.org/wiki/خواجہ_محمد_اظہر_خان,Yes,No,No,No,No,No,No,No,1
ورنر ہیزنبرگ,https://ur.wikipedia.org/wiki/ورنر_ہیزنبرگ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100
ایتھلسٹان,https://ur.wikipedia.org/wiki/ایتھلسٹان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,58
ادتیہ رائے کپور,https://ur.wikipedia.org/wiki/ادتیہ_رائے_کپور,Yes,Yes,Yes,No,No,No,No,Yes,16
سبط ابن جوزی,https://ur.wikipedia.org/wiki/سبط_ابن_جوزی,Yes,No,Yes,No,No,No,No,No,7
احمد صبحی منصور,https://ur.wikipedia.org/wiki/احمد_صبحی_منصور,Yes,No,No,No,No,No,No,No,6
دیو آنند,https://ur.wikipedia.org/wiki/دیو_آنند,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,31
علاؤالدین,https://ur.wikipedia.org/wiki/علاؤالدین,Yes,No,No,No,No,No,No,No,1
ابو الجرجانی,https://ur.wikipedia.org/wiki/ابو_الجرجانی,Yes,No,No,No,No,No,No,No,1
محمد ایوب قادری,https://ur.wikipedia.org/wiki/محمد_ایوب_قادری,No,No,No,No,No,No,No,No,0
شیخ دین محمد,https://ur.wikipedia.org/wiki/شیخ_دین_محمد,Yes,Yes,No,No,No,No,No,No,6
فرینک بلنگز کیلوگ,https://ur.wikipedia.org/wiki/فرینک_بلنگز_کیلوگ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,48
سید زوار حسین شاہ,https://ur.wikipedia.org/wiki/سید_زوار_حسین_شاہ,No,No,No,No,No,No,No,No,0
مجد الدین فیروز آبادی,https://ur.wikipedia.org/wiki/مجد_الدین_فیروز_آبادی,Yes,No,No,No,No,Yes,No,No,5
سوار محمد حسین,https://ur.wikipedia.org/wiki/سوار_محمد_حسین,Yes,No,No,No,No,No,No,No,3
پیٹریشیا بلیئر,https://ur.wikipedia.org/wiki/پیٹریشیا_بلیئر,Yes,Yes,Yes,No,Yes,No,No,No,13
درشن سنگھ آوارہ,https://ur.wikipedia.org/wiki/درشن_سنگھ_آوارہ,Yes,No,No,No,No,No,No,Yes,4
زینب بنت عمر بن الکندی,https://ur.wikipedia.org/wiki/زینب_بنت_عمر_بن_الکندی,Yes,No,No,No,No,No,No,No,2
احتشام حسین,https://ur.wikipedia.org/wiki/احتشام_حسین,No,No,No,No,No,No,No,No,0
مغنی تبسم,https://ur.wikipedia.org/wiki/مغنی_تبسم,No,No,No,No,No,No,No,No,0
ڈورتھی ٹائلر اوڈھم,https://ur.wikipedia.org/wiki/ڈورتھی_ٹائلر_اوڈھم,Yes,Yes,Yes,Yes,Yes,Yes,No,No,19
ساغر خیامی,https://ur.wikipedia.org/wiki/ساغر_خیامی,No,No,No,No,No,No,No,No,0
المہدی باللہ,https://ur.wikipedia.org/wiki/المہدی_باللہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,33
گونر مائرڈل,https://ur.wikipedia.org/wiki/گونر_مائرڈل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,59
عماد فایز مغنیہ,https://ur.wikipedia.org/wiki/عماد_فایز_مغنیہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,21
تیمور شاہ درانی,https://ur.wikipedia.org/wiki/تیمور_شاہ_درانی,Yes,Yes,Yes,No,Yes,No,No,No,17
حفیظ اللہ امین,https://ur.wikipedia.org/wiki/حفیظ_اللہ_امین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,40
امبکا (اداکارہ),https://ur.wikipedia.org/wiki/امبکا_(اداکارہ),Yes,No,No,No,No,No,No,No,7
یحییٰ اعظمی,https://ur.wikipedia.org/wiki/یحییٰ_اعظمی,No,No,No,No,No,No,No,No,0
محمد برہان الدین,https://ur.wikipedia.org/wiki/محمد_برہان_الدین,Yes,No,No,No,No,No,No,Yes,7
نمر باقر النمر,https://ur.wikipedia.org/wiki/نمر_باقر_النمر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50
کوثر نیازی,https://ur.wikipedia.org/wiki/کوثر_نیازی,Yes,No,No,No,No,No,No,No,1
کلپنا (ملیالم اداکارہ),https://ur.wikipedia.org/wiki/کلپنا_(ملیالم_اداکارہ),Yes,Yes,No,No,Yes,No,No,Yes,15
ڈونا ڈگلس,https://ur.wikipedia.org/wiki/ڈونا_ڈگلس,Yes,No,Yes,Yes,Yes,No,No,No,21
ایڈتھ پیاف,https://ur.wikipedia.org/wiki/ایڈتھ_پیاف,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,114
الزبتھ بینکس,https://ur.wikipedia.org/wiki/الزبتھ_بینکس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,54
ماریا خوسے الوارادو,https://ur.wikipedia.org/wiki/ماریا_خوسے_الوارادو,Yes,No,Yes,Yes,Yes,No,Yes,No,9
میری ملنگٹن,https://ur.wikipedia.org/wiki/میری_ملنگٹن,Yes,No,No,Yes,No,Yes,No,No,7
سمعان عمودی,https://ur.wikipedia.org/wiki/سمعان_عمودی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,29
فراق گورکھپوری,https://ur.wikipedia.org/wiki/فراق_گورکھپوری,Yes,No,No,No,No,No,No,Yes,12
ابو قحافہ,https://ur.wikipedia.org/wiki/ابو_قحافہ,Yes,Yes,No,No,No,No,No,No,3
جیمز کلیرک ماکسویل,https://ur.wikipedia.org/wiki/جیمز_کلیرک_ماکسویل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,119
اسماعیل حقی,https://ur.wikipedia.org/wiki/اسماعیل_حقی,No,No,No,No,No,No,No,No,0
محمود المسعدی,https://ur.wikipedia.org/wiki/محمود_المسعدی,Yes,Yes,Yes,Yes,No,No,No,No,6
زیب مگسی,https://ur.wikipedia.org/wiki/زیب_مگسی,No,No,No,No,No,No,No,No,1
عبدالحکیم سیالکوٹی,https://ur.wikipedia.org/wiki/عبدالحکیم_سیالکوٹی,Yes,No,No,No,No,No,No,No,1
پیر د فرما,https://ur.wikipedia.org/wiki/پیر_د_فرما,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,90
محمد تقی,https://ur.wikipedia.org/wiki/محمد_تقی,Yes,Yes,Yes,Yes,Yes,Yes,No,No,29
میری پکفورڈ,https://ur.wikipedia.org/wiki/میری_پکفورڈ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,75
غازی بیگ ترخان,https://ur.wikipedia.org/wiki/غازی_بیگ_ترخان,Yes,No,No,No,No,No,No,No,4
ابراہیم محمد صلح,https://ur.wikipedia.org/wiki/ابراہیم_محمد_صلح,Yes,Yes,Yes,No,Yes,No,Yes,Yes,19
گوڈفرے ہونسفیلڈ,https://ur.wikipedia.org/wiki/گوڈفرے_ہونسفیلڈ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,44
رویندر جین,https://ur.wikipedia.org/wiki/رویندر_جین,Yes,No,No,No,No,No,No,Yes,6
آریا جیووانی,https://ur.wikipedia.org/wiki/آریا_جیووانی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,30
جم کلارک,https://ur.wikipedia.org/wiki/جم_کلارک,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
میر سید علی ہمدانی,https://ur.wikipedia.org/wiki/میر_سید_علی_ہمدانی,Yes,Yes,No,No,No,No,No,No,6
تان سین,https://ur.wikipedia.org/wiki/تان_سین,Yes,Yes,Yes,No,Yes,No,No,Yes,21
جوز اورٹیگا گیسیٹ,https://ur.wikipedia.org/wiki/جوز_اورٹیگا_گیسیٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,51
شبیر احمد عثمانی,https://ur.wikipedia.org/wiki/شبیر_احمد_عثمانی,Yes,No,No,No,No,No,No,No,4
نکولس برنولی اول,https://ur.wikipedia.org/wiki/نکولس_برنولی_اول,Yes,Yes,Yes,Yes,No,Yes,Yes,No,17
ہنس بیتھ,https://ur.wikipedia.org/wiki/ہنس_بیتھ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,68
لیونید سولوویوف,https://ur.wikipedia.org/wiki/لیونید_سولوویوف,Yes,Yes,No,No,No,No,No,No,9
رچرڈ ای ٹیلر,https://ur.wikipedia.org/wiki/رچرڈ_ای_ٹیلر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50
ماسٹر عبداللہ,https://ur.wikipedia.org/wiki/ماسٹر_عبداللہ,Yes,No,No,No,No,No,No,No,1
میجر شبیر شریف,https://ur.wikipedia.org/wiki/میجر_شبیر_شریف,Yes,No,No,No,No,No,No,No,3
عبیر ابوذری,https://ur.wikipedia.org/wiki/عبیر_ابوذری,No,No,No,No,No,No,No,No,0
بدر بن عبدالعزیز آل سعود,https://ur.wikipedia.org/wiki/بدر_بن_عبدالعزیز_آل_سعود,Yes,No,No,Yes,No,No,No,No,6
ہوکوسائی,https://ur.wikipedia.org/wiki/ہوکوسائی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,133
سنکئیرلیس,https://ur.wikipedia.org/wiki/سنکئیرلیس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,82
کم ڈے ژونگ,https://ur.wikipedia.org/wiki/کم_ڈے_ژونگ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,75
احمد سہیل,https://ur.wikipedia.org/wiki/احمد_سہیل,No,No,No,No,No,No,No,No,0
احمد کریم,https://ur.wikipedia.org/wiki/احمد_کریم,No,No,No,No,No,No,No,No,0
الخوارزمی,https://ur.wikipedia.org/wiki/الخوارزمی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,129
خان عبدالغفار خان,https://ur.wikipedia.org/wiki/خان_عبدالغفار_خان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,36
ہرمن جوزف میولر,https://ur.wikipedia.org/wiki/ہرمن_جوزف_میولر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,43
اکمل خان,https://ur.wikipedia.org/wiki/اکمل_خان,Yes,No,No,No,No,No,No,Yes,8
بلونت سنگھ,https://ur.wikipedia.org/wiki/بلونت_سنگھ,No,No,No,No,No,No,No,Yes,2
قیوم نظر,https://ur.wikipedia.org/wiki/قیوم_نظر,Yes,No,No,No,No,No,No,No,1
جوزپے وردی,https://ur.wikipedia.org/wiki/جوزپے_وردی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,131
ولارڈ ایس بوائل,https://ur.wikipedia.org/wiki/ولارڈ_ایس_بوائل,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,53
انگے لیمان,https://ur.wikipedia.org/wiki/انگے_لیمان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,48
غلام بھیک نیرنگ,https://ur.wikipedia.org/wiki/غلام_بھیک_نیرنگ,Yes,No,No,No,No,No,No,No,1
لیونڈکانٹروچ,https://ur.wikipedia.org/wiki/لیونڈکانٹروچ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,55
پطرس اول شاہ قبرص,https://ur.wikipedia.org/wiki/پطرس_اول_شاہ_قبرص,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,17
روفس آئزکس,https://ur.wikipedia.org/wiki/روفس_آئزکس,Yes,Yes,Yes,No,Yes,Yes,No,No,15
سلی پریدہم,https://ur.wikipedia.org/wiki/سلی_پریدہم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,83
سلیمان رحیموف,https://ur.wikipedia.org/wiki/سلیمان_رحیموف,No,No,No,No,No,No,No,No,5
محمد مراد علی خاں,https://ur.wikipedia.org/wiki/محمد_مراد_علی_خاں,No,No,No,No,No,No,No,Yes,1
فرانسس بیکن,https://ur.wikipedia.org/wiki/فرانسس_بیکن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,103
ایرٹن سینہ,https://ur.wikipedia.org/wiki/ایرٹن_سینہ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,81
برٹرام بروک ہاؤس,https://ur.wikipedia.org/wiki/برٹرام_بروک_ہاؤس,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50
احتشام الدین,https://ur.wikipedia.org/wiki/احتشام_الدین,Yes,No,No,No,No,No,No,No,3
شہزادی در شہوار,https://ur.wikipedia.org/wiki/شہزادی_در_شہوار,Yes,Yes,Yes,No,No,No,No,Yes,14
حسن الخراط,https://ur.wikipedia.org/wiki/حسن_الخراط,Yes,Yes,Yes,No,No,No,Yes,No,10
شمس الائمہ سرخسی,https://ur.wikipedia.org/wiki/شمس_الائمہ_سرخسی,Yes,Yes,Yes,Yes,No,No,No,No,7
عبد الرحمان بن ناصر سعدی,https://ur.wikipedia.org/wiki/عبد_الرحمان_بن_ناصر_سعدی,Yes,No,Yes,Yes,No,No,No,No,7
بیدو خان,https://ur.wikipedia.org/wiki/بیدو_خان,Yes,Yes,Yes,Yes,Yes,No,Yes,No,20
خالدہ ادیب خانم,https://ur.wikipedia.org/wiki/خالدہ_ادیب_خانم,No,No,No,No,No,No,No,No,0
ابن ابی شیبہ,https://ur.wikipedia.org/wiki/ابن_ابی_شیبہ,Yes,Yes,No,Yes,No,No,No,No,7
تھامس واکر آرنلڈ,https://ur.wikipedia.org/wiki/تھامس_واکر_آرنلڈ,Yes,Yes,Yes,No,No,No,No,No,9
سٹین ونسٹن,https://ur.wikipedia.org/wiki/سٹین_ونسٹن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,25
حسین بن منصور حلاج,https://ur.wikipedia.org/wiki/حسین_بن_منصور_حلاج,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,41
ایولین کیز,https://ur.wikipedia.org/wiki/ایولین_کیز,Yes,Yes,Yes,Yes,No,Yes,Yes,No,22
گنگا دھر نہرو,https://ur.wikipedia.org/wiki/گنگا_دھر_نہرو,Yes,No,No,No,No,No,No,Yes,4
عبدالحمید لاہوری,https://ur.wikipedia.org/wiki/عبدالحمید_لاہوری,Yes,No,No,No,No,No,No,No,5
موتی لال نہرو,https://ur.wikipedia.org/wiki/موتی_لال_نہرو,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34
نسیم حجازی,https://ur.wikipedia.org/wiki/نسیم_حجازی,Yes,No,No,No,No,No,No,Yes,6
الیٹا اوشن,https://ur.wikipedia.org/wiki/الیٹا_اوشن,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,33
ابو الخیر مودودی,https://ur.wikipedia.org/wiki/ابو_الخیر_مودودی,No,No,No,No,No,No,No,No,0
مرزا بابر,https://ur.wikipedia.org/wiki/مرزا_بابر,Yes,No,No,No,No,No,No,No,2
تقی الدین محمد ابن احمد الفاسی,https://ur.wikipedia.org/wiki/تقی_الدین_محمد_ابن_احمد_الفاسی,Yes,No,No,No,No,No,No,No,2
شاہ بیگم,https://ur.wikipedia.org/wiki/شاہ_بیگم,Yes,No,No,No,No,No,No,No,3
سریندر (اداکار),https://ur.wikipedia.org/wiki/سریندر_(اداکار),Yes,No,No,No,No,No,No,No,2
اربن دوم,https://ur.wikipedia.org/wiki/اربن_دوم,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,75
عبد العزیز الحلوانی,https://ur.wikipedia.org/wiki/عبد_العزیز_الحلوانی,No,No,No,No,No,No,No,No,1
آغا حسن عابدی,https://ur.wikipedia.org/wiki/آغا_حسن_عابدی,Yes,Yes,No,No,No,No,No,No,4
گرو ہرکرشن,https://ur.wikipedia.org/wiki/گرو_ہرکرشن,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,22
جوگندر پال,https://ur.wikipedia.org/wiki/جوگندر_پال,No,No,No,No,No,No,No,No,0
واجد علی شاہ,https://ur.wikipedia.org/wiki/واجد_علی_شاہ,Yes,No,No,No,No,No,No,Yes,8
حسدائی بن شپروط,https://ur.wikipedia.org/wiki/حسدائی_بن_شپروط,Yes,Yes,Yes,Yes,Yes,No,No,No,19
انتظام الملک,https://ur.wikipedia.org/wiki/انتظام_الملک,Yes,No,No,No,No,No,No,No,1
مارینا ایوانوونا تسوتایوا,https://ur.wikipedia.org/wiki/مارینا_ایوانوونا_تسوتایوا,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,57
ابو عمر الشیشانی,https://ur.wikipedia.org/wiki/ابو_عمر_الشیشانی,Yes,Yes,Yes,Yes,No,No,Yes,No,23
اسرار علی,https://ur.wikipedia.org/wiki/اسرار_علی,Yes,No,No,No,No,No,No,No,3
خواجہ خورشید انور,https://ur.wikipedia.org/wiki/خواجہ_خورشید_انور,Yes,No,No,No,No,No,No,No,2
خدیجہ مستور,https://ur.wikipedia.org/wiki/خدیجہ_مستور,Yes,No,No,No,Yes,No,No,No,4
رقیہ بنت حسین,https://ur.wikipedia.org/wiki/رقیہ_بنت_حسین,Yes,No,Yes,Yes,No,No,No,No,8
حافظ محمد یوسف سدیدی,https://ur.wikipedia.org/wiki/حافظ_محمد_یوسف_سدیدی,No,No,No,No,No,No,No,No,0
کووینٹرے پیٹ مور,https://ur.wikipedia.org/wiki/کووینٹرے_پیٹ_مور,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,14
دوست محمد خان,https://ur.wikipedia.org/wiki/دوست_محمد_خان,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,34
حبیب اللہ کلکانی,https://ur.wikipedia.org/wiki/حبیب_اللہ_کلکانی,Yes,Yes,Yes,Yes,Yes,Yes,No,No,24
اسلم رئیسانی,https://ur.wikipedia.org/wiki/اسلم_رئیسانی,Yes,No,No,No,No,No,No,Yes,2
اینڈریو ہنری (کھال تاجر),https://ur.wikipedia.org/wiki/اینڈریو_ہنری_(کھال_تاجر),Yes,Yes,Yes,No,Yes,Yes,No,No,6
چیسٹر اے آرتھر,https://ur.wikipedia.org/wiki/چیسٹر_اے_آرتھر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,105
محمد اسرائیل مہجور,https://ur.wikipedia.org/wiki/محمد_اسرائیل_مہجور,No,No,No,No,No,No,No,No,1
فضل پوکویا تھنگل,https://ur.wikipedia.org/wiki/فضل_پوکویا_تھنگل,Yes,Yes,No,No,No,No,No,No,3
عضد الدولہ,https://ur.wikipedia.org/wiki/عضد_الدولہ,Yes,Yes,Yes,Yes,Yes,No,No,No,17
امان اللہ,https://ur.wikipedia.org/wiki/امان_اللہ,Yes,No,No,No,No,No,No,No,1
برنارڈ کٹز,https://ur.wikipedia.org/wiki/برنارڈ_کٹز,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
بمل رائے,https://ur.wikipedia.org/wiki/بمل_رائے,Yes,Yes,Yes,Yes,Yes,No,No,Yes,19
راؤ سکندر اقبال,https://ur.wikipedia.org/wiki/راؤ_سکندر_اقبال,Yes,No,No,No,No,No,Yes,No,2
چراغ حسن حسرت,https://ur.wikipedia.org/wiki/چراغ_حسن_حسرت,Yes,No,No,No,No,No,No,No,1
شرف الدین علی یزدی,https://ur.wikipedia.org/wiki/شرف_الدین_علی_یزدی,Yes,No,Yes,No,No,No,No,No,10
اعجاز احمد (کرکٹ کھلاڑی),https://ur.wikipedia.org/wiki/اعجاز_احمد_(کرکٹ_کھلاڑی),Yes,No,No,No,No,No,No,No,3
رابندر ناتھ ٹیگور,https://ur.wikipedia.org/wiki/رابندر_ناتھ_ٹیگور,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,142
اسٹیون فرائی,https://ur.wikipedia.org/wiki/اسٹیون_فرائی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,48
بوران دخت,https://ur.wikipedia.org/wiki/بوران_دخت,Yes,Yes,Yes,No,Yes,Yes,Yes,No,28
آفتاب شیرپاؤ,https://ur.wikipedia.org/wiki/آفتاب_شیرپاؤ,Yes,Yes,Yes,No,No,No,No,No,6
جیمز میڈے,https://ur.wikipedia.org/wiki/جیمز_میڈے,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,41
زینب انصاری کا قتل,https://ur.wikipedia.org/wiki/زینب_انصاری_کا_قتل,Yes,No,No,No,No,No,No,No,2
بروک ٹیلر,https://ur.wikipedia.org/wiki/بروک_ٹیلر,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,38
میرزا فتح علی آخوندزادہ,https://ur.wikipedia.org/wiki/میرزا_فتح_علی_آخوندزادہ,Yes,Yes,Yes,Yes,No,Yes,No,No,29
عزیز نیسن,https://ur.wikipedia.org/wiki/عزیز_نیسن,Yes,Yes,Yes,No,Yes,No,Yes,No,33
مئی 2018ء میں وفیات,https://ur.wikipedia.org/wiki/مئی_2018ء_میں_وفیات,Yes,Yes,Yes,No,Yes,No,Yes,No,14
آرتھر ہارڈن,https://ur.wikipedia.org/wiki/آرتھر_ہارڈن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,53
کرسچن ڈی دووی,https://ur.wikipedia.org/wiki/کرسچن_ڈی_دووی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,52
دارا شکوہ,https://ur.wikipedia.org/wiki/دارا_شکوہ,Yes,Yes,Yes,Yes,Yes,No,No,Yes,25
جیا سیداو,https://ur.wikipedia.org/wiki/جیا_سیداو,Yes,Yes,Yes,No,Yes,No,No,No,13
جارج ایچ ڈبلیو بش,https://ur.wikipedia.org/wiki/جارج_ایچ_ڈبلیو_بش,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,139
دسمبر 2016ء میں وفیات,https://ur.wikipedia.org/wiki/دسمبر_2016ء_میں_وفیات,Yes,Yes,Yes,No,Yes,No,Yes,No,13
آغا حیدر حسن مرزا,https://ur.wikipedia.org/wiki/آغا_حیدر_حسن_مرزا,No,No,No,No,No,No,No,No,0
رسائل سیوطی,https://ur.wikipedia.org/wiki/رسائل_سیوطی,No,No,No,No,No,No,No,No,1
غیاث الدین بلبن,https://ur.wikipedia.org/wiki/غیاث_الدین_بلبن,Yes,No,Yes,Yes,No,Yes,No,Yes,25
دلیپ سنگھ,https://ur.wikipedia.org/wiki/دلیپ_سنگھ,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,15
علی بن عمر دارقطنی,https://ur.wikipedia.org/wiki/علی_بن_عمر_دارقطنی,Yes,No,Yes,Yes,No,No,No,No,8
ارشد وہرہ,https://ur.wikipedia.org/wiki/ارشد_وہرہ,Yes,No,No,No,No,No,No,No,1
اسٹیو چین,https://ur.wikipedia.org/wiki/اسٹیو_چین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,24
یاکوب کولاس,https://ur.wikipedia.org/wiki/یاکوب_کولاس,Yes,Yes,Yes,Yes,Yes,Yes,No,No,61
آنند شرما,https://ur.wikipedia.org/wiki/آنند_شرما,Yes,No,No,No,No,No,No,Yes,5
منور ظریف,https://ur.wikipedia.org/wiki/منور_ظریف,Yes,No,No,No,No,No,No,No,2
سید محمد تقی,https://ur.wikipedia.org/wiki/سید_محمد_تقی,No,No,No,No,No,No,No,No,0
خواجہ احمد میروی,https://ur.wikipedia.org/wiki/خواجہ_احمد_میروی,No,No,No,No,No,No,No,No,0
دیویکا رانی,https://ur.wikipedia.org/wiki/دیویکا_رانی,Yes,Yes,Yes,Yes,No,No,No,Yes,23
برٹل ہلن,https://ur.wikipedia.org/wiki/برٹل_ہلن,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
مریم مختار,https://ur.wikipedia.org/wiki/مریم_مختار,Yes,No,No,No,No,No,No,No,3
نصیر ملک,https://ur.wikipedia.org/wiki/نصیر_ملک,Yes,No,No,No,No,No,No,No,2
المستضی بامر اللہ,https://ur.wikipedia.org/wiki/المستضی_بامر_اللہ,Yes,Yes,Yes,Yes,Yes,No,Yes,No,20
محمد نثار (کرکٹر),https://ur.wikipedia.org/wiki/محمد_نثار_(کرکٹر),Yes,No,No,No,No,No,No,No,5
جارج بیسٹ,https://ur.wikipedia.org/wiki/جارج_بیسٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,58
جان مکین,https://ur.wikipedia.org/wiki/جان_مکین,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,103
ویشالی کاساراوالی,https://ur.wikipedia.org/wiki/ویشالی_کاساراوالی,No,No,No,No,No,No,No,No,0
اظہار وارثی,https://ur.wikipedia.org/wiki/اظہار_وارثی,No,No,No,No,No,No,No,No,0
شیرون ٹیٹ,https://ur.wikipedia.org/wiki/شیرون_ٹیٹ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,41
راہی معصوم رضا,https://ur.wikipedia.org/wiki/راہی_معصوم_رضا,Yes,No,No,No,No,No,No,Yes,4
سید محی الدین قادری زور,https://ur.wikipedia.org/wiki/سید_محی_الدین_قادری_زور,Yes,No,No,No,No,No,No,No,3
صوفی نواب دین,https://ur.wikipedia.org/wiki/صوفی_نواب_دین,No,No,No,No,No,No,No,No,0
گالبا,https://ur.wikipedia.org/wiki/گالبا,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,75
برکت علی خان,https://ur.wikipedia.org/wiki/برکت_علی_خان,Yes,No,No,No,No,No,No,Yes,3
خواجہ فخر جہاں,https://ur.wikipedia.org/wiki/خواجہ_فخر_جہاں,No,No,No,No,No,No,No,No,0
ہنری جارج کین، مؤرخ,https://ur.wikipedia.org/wiki/ہنری_جارج_کین،_مؤرخ,Yes,No,No,No,No,No,No,No,1
دسونت,https://ur.wikipedia.org/wiki/دسونت,Yes,No,No,No,No,No,No,No,1
عبد الرحمن شکری,https://ur.wikipedia.org/wiki/عبد_الرحمن_شکری,No,No,No,No,No,No,No,No,0
قسطن ثانی,https://ur.wikipedia.org/wiki/قسطن_ثانی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,51
عزیز میاں,https://ur.wikipedia.org/wiki/عزیز_میاں,Yes,Yes,Yes,No,No,No,No,No,6
للویڈ شیپلی,https://ur.wikipedia.org/wiki/للویڈ_شیپلی,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,46
ابن جریر طبری,https://ur.wikipedia.org/wiki/ابن_جریر_طبری,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,49
رامن راگھو,https://ur.wikipedia.org/wiki/رامن_راگھو,Yes,No,Yes,No,No,No,No,No,3
